Designator,Mid X,Mid Y,Layer,Rotation
BAT,29.34,18.03,Top,90.0
C1, 8.76,18.80,Top,90.0
C2,22.35, 6.60,Top,0.0
C3,23.37,19.30,Top,180.0
C5, 5.59,18.80,Top,270.0
C6,11.94,18.80,Top,90.0
D1,12.70, 4.06,Top,270.0
D2,17.40, 4.06,Top,270.0
IC1,15.24,12.07,Top,270.0
L1,28.58, 6.99,Top,90.0
LED_G, 7.49, 9.91,Top,180.0
LED_R, 7.49,12.70,Top,180.0
Q1, 7.62, 4.57,Top,90.0
R3,22.35, 9.65,Top,0.0
R4,18.41,19.30,Top,90.0
R5,15.24,18.9,Top,270.0
R10, 7.24,15.11,Top,180.0
RS1,22.99,13.72,Top,180.0
RS2,22.99,16.51,Top,180.0
SV1, 1.91,11.68,Top,270.0
