Designator,Mid X,Mid Y,Layer,Rotation
BAT,33.78,19.56,Top,0.0
C1,11.05, 4.06,Top,180.0
C2, 5.97,19.30,Top,90.0
C3, 6.10, 4.06,Top,180.0
C4,13.08,19.18,Top,90.0
C5,27.56,18.03,Top,270.0
D1, 5.97, 9.14,Top,90.0
LED,20.45, 9.14,Top,90.0
R1,17.27, 5.97,Top,90.0
R2,24.77,18.54,Top,270.0
R3,19.94,18.67,Top,270.0
R4,16.64,13.97,Top,270.0
R5,16.64,10.54,Top,270.0
R6,16.26,18.67,Top,90.0
R7, 5.97,14.61,Top,270.0
R8, 9.78,18.80,Top,90.0
R9,20.45,13.97,Top,270.0
SV1, 1.91,11.68,Top,270.0
U$1,30.23, 7.87,Top,90.0
U1,12.32, 9.14,Top,0.0
