Designator,Mid X,Mid Y,Layer,Rotation
C1,106.68, 8.89,Bottom,0.0
C2,87.63, 8.89,Bottom,0.0
C3,106.68,27.94,Bottom,0.0
C4,87.63,27.94,Bottom,0.0
C42,12.70,15.24,Bottom,270.0
Q7,154.31,24.13,Bottom,270.0
Q8,154.31,30.48,Bottom,270.0
R1,43.18,29.85,Bottom,90.0
R2,99.06, 8.89,Bottom,270.0
R3,95.25, 8.89,Bottom,270.0
R4,99.06,27.94,Bottom,90.0
R5,95.25,27.94,Bottom,90.0
R53,137.80, 7.62,Bottom,270.0
R54,118.11, 8.26,Bottom,270.0
R56,156.21,17.14,Bottom,270.0
R57,152.40,17.14,Bottom,90.0
R59,170.18, 7.62,Bottom,270.0
R60,175.90, 7.62,Bottom,270.0
U3,20.96,19.05,Bottom,180.0
J10,60.96,19.05,Bottom,180.0

LCD1, 0.00, 0.64,Top,0.0
LED1,125.73, 8.89,Top,0.0
LED2,144.78, 8.89,Top,0.0
LED3,163.83, 8.89,Top,0.0
LED4,182.88, 8.89,Top,0.0
LEFT/DOWN,106.68, 8.89,Top,90.0
LEVEL_A,125.73,27.94,Top,0.0
LEVEL_B,144.78,27.94,Top,0.0
MENU,87.63,27.94,Top,90.0
MULTI-ADJ,163.83,27.94,Top,0.0
OK,87.63, 8.89,Top,90.0,
RIGHT/UP,106.68,27.94,Top,90.0,
VR4,182.88,27.94,Top,0.0
