Designator,Mid X,Mid Y,Layer,Rotation
9V_1,136.14,97.79,Top,270.0
9V_2,153.42,97.79,Top,270.0
BR,165.61,93.47,Top,90.0
C2,165.61,100.08,Top,90.0
C3,175.51,88.65,Top,0.0
C4,141.99,96.01,Top,270.0
C5,125.22,99.57,Top,90.0
C6,159.26,96.01,Top,270.0
C7,147.57,96.52,Top,270.0
C8,110.49,78.23,Top,90.0
C9,170.94,78.49,Top,90.0
C15,34.29,94.74,Top,0.0
C16,38.10,94.74,Top,180.0
C17,41.66,87.63,Top,90.0
C18,59.18,82.55,Top,0.0
C19,24.38,95.50,Top,180.0
C20,23.11,65.28,Top,0.0
C21,12.45,52.83,Top,180.0
C22, 5.08,91.95,Top,90.0
C23,29.97,51.82,Top,180.0
C24, 5.08,86.87,Top,90.0
C25,29.21,59.69,Top,180.0
C26,29.21,62.48,Top,0.0
C27,53.09,51.82,Top,0.0
C28,48.26,51.82,Top,180.0
C29,24.38,81.28,Top,180.0
C30, 6.86,69.85,Top,180.0
C31, 6.86,98.81,Top,180.0
C32,89.66,56.90,Top,90.0
C33,89.15,45.47,Top,0.0
C34,103.89,45.47,Top,0.0
C35,94.23,45.47,Top,0.0
C36,99.06,45.47,Top,0.0
C37,34.29,98.55,Top,0.0
C38,96.77,74.17,Top,90.0
C39,130.81,88.65,Top,90.0
C40,154.94,88.39,Top,90.0
C41,75.18,83.82,Top,0.0
C42,130.30,99.57,Top,90.0
C43,11.68,84.33,Top,180.0
C44,74.17,92.71,Top,180.0
C45,109.98,99.06,Top,270.0
D2,10.67,95.25,Top,180.0
D3,10.92,66.55,Top,0.0
D4,185.04,85.85,Top,180.0
D5,67.31,82.55,Top,90.0
DAC,75.18,87.88,Top,270.0
F1,179.20,71.37,Top,270.0
IC1,48.77,77.72,Top,225.0
Q1,136.65,77.98,Top,90.0
Q2,120.65,77.98,Top,90.0
Q3,128.61,77.98,Top,90.0
Q4,160.78,77.98,Top,90.0
Q5,144.53,77.98,Top,90.0
Q6,152.57,77.98,Top,90.0
R1,182.12,97.79,Top,0.0
R2,182.12,100.58,Top,0.0
R3,70.36,76.71,Top,270.0
R4,67.31,76.71,Top,90.0
R5,61.21,98.81,Top,90.0
R6,61.21,93.98,Top,90.0
R7,17.27,52.83,Top,0.0
R8,23.11,62.48,Top,0.0
R9,101.60,63.25,Top,0.0
R10,19.30,85.85,Top,0.0
R11,11.68,87.38,Top,180.0
R12,11.68,90.17,Top,0.0
R13,11.68,92.96,Top,180.0
R14,34.80,51.82,Top,180.0
R15, 5.08,81.53,Top,90.0
R16,35.05,59.69,Top,180.0
R17,35.05,62.48,Top,180.0
R18,40.26,47.24,Top,90.0
R19,40.26,42.42,Top,90.0
R20,29.21,65.28,Top,0.0
R21,43.43,51.82,Top,0.0
R22,11.94,73.41,Top,0.0
R23,11.94,69.85,Top,180.0
R24,11.94,76.96,Top,180.0
R25,11.94,79.76,Top,180.0
R26,32.77,77.98,Top,90.0
R27,32.77,73.15,Top,270.0
R28, 6.86,63.25,Top,180.0
R29,11.68,98.81,Top,0.0
R30,140.21,88.39,Top,270.0
R31,84.84,93.98,Top,270.0
R32,90.42,93.98,Top,90.0
R33,87.63,93.98,Top,270.0
R34,74.42,76.71,Top,90.0
R35,77.22,76.71,Top,270.0
R36,80.01,76.71,Top,90.0
R37,113.28,88.65,Top,90.0
R38,109.73,88.65,Top,270.0
R39,127.76,88.65,Top,270.0
R40,102.36,94.74,Top,90.0
R41,99.82,94.74,Top,270.0
R42,84.84,88.90,Top,90.0
R43,90.42,88.90,Top,270.0
R44,87.63,88.90,Top,90.0
R45,102.36,85.09,Top,90.0
R46,99.57,85.09,Top,270.0
R47,96.77,85.09,Top,90.0
R48,116.59,88.65,Top,90.0
R49,119.63,88.65,Top,270.0
R50,152.15,88.39,Top,270.0
R51,104.90,94.74,Top,90.0
R52,107.44,94.74,Top,270.0
R53,34.29,101.35,Top,180.0
R54,136.91,88.39,Top,270.0
R55,147.57,88.39,Top,270.0
R56,182.12,95.00,Top,0.0
R58,101.60,65.79,Top,180.0
R61,22.10,52.83,Top,0.0
R62,57.91,47.24,Top,90.0
REG5,118.16,97.6,Top,180.0
U2,24.38,74.68,Top,270.0
U4,24.38,90.68,Top,270.0
U9,97.28,54.36,Top,0.0
U10,90.68,70.10,Top,270.0
V_REG,172.21,97.79,Top,0.0
Y2,36.58,91.44,Top,0.0
J11,57.15,59.69,Top, 0.0
JP1,49.53,99.314,Top, 180.0
J9,72.644,99.314,Top, 0.0
BAT,184.658,75.184,Top, 90.0
J8,161.29,38.1,Top, 0.0
S5,182.88,40.64,Top, 0.0
J2,49.53,38.1,Top, 90.0
J3,68.58,38.1,Top, 90.0
J4,11.43,38.1,Top, 90.0
J5,30.48,38.1,Top, 90.0
J6,125.73,38.1,Top, 90.0
J7,144.78,38.1,Top, 90.0
TR1,125.349,63.246,Top, 0.0
TR2,152.908,62.484,Top, 0.0
