Designator,Mid X,Mid Y,Layer,Rotation
9V_REG,34.29,26.67,Bottom,270.0
C1,19.05,27.94,Bottom,90.0
C2,81.28,27.94,Bottom,90.0
C3,54.61,67.31,Bottom,180.0
C4,34.29,67.31,Bottom,0.0
C5,72.39,67.31,Bottom,0.0
C6,27.94,26.92,Bottom,90.0
C7,16.51,67.31,Bottom,180.0
C8,13.97,85.09,Bottom,0.0
C9,17.78,46.99,Bottom,90.0
C10, 5.08,40.64,Bottom,270.0
C11,35.43,20.96,Bottom,180.0
C12,17.78,54.61,Bottom,90.0
C13,13.97,54.61,Bottom,90.0
C14,10.16,54.61,Bottom,90.0
C15,13.97,90.17,Bottom,0.0
C16,13.97,100.33,Bottom,180.0
C17,27.94,105.41,Bottom,90.0
C18,36.83,92.71,Bottom,270.0
C38,69.85,92.71,Bottom,90.0
C39,34.29,58.42,Bottom,0.0
C40,64.64,57.91,Bottom,0.0
C41,17.78,105.41,Bottom,270.0
C42,49.40,102.87,Bottom,90.0
F1,44.45, 8.89,Bottom,90.0
Y1,13.97,95.25,Bottom,90.0
D1, 8.89,33.02,Bottom,90.0
D2, 5.08,48.26,Bottom,90.0
IC1,12.70,40.64,Bottom,270.0
L1,12.70,46.99,Bottom,90.0
Q1,24.13,52.07,Bottom,90.0
Q2,44.45,52.07,Bottom,90.0
Q3,34.29,52.07,Bottom,90.0
Q4,54.61,52.07,Bottom,90.0
Q5,74.93,52.07,Bottom,90.0
Q6,64.77,52.07,Bottom,90.0
Q7,59.44,113.54,Bottom,0.0
Q8,68.33,113.54,Bottom,0.0
R1,53.34,77.47,Bottom,270.0
R2,50.80,77.47,Bottom,270.0
R3,13.97,87.63,Bottom,0.0
R4,41.91,77.47,Bottom,90.0
R5,46.99,77.47,Bottom,270.0
R6,44.45,77.47,Bottom,90.0
R7,40.64,36.83,Bottom,90.0
R8,46.99,86.36,Bottom,90.0
R9,44.45,86.36,Bottom,90.0
R10,50.80,86.36,Bottom,90.0
R11,53.34,86.36,Bottom,90.0
R12,78.74,114.3,Bottom,90.0
R30,83.69,53.34,Bottom,90.0
R30_2,86.36,53.34,Bottom,90.0
R31,81.28,91.44,Bottom,180.0
R32,77.47,80.01,Bottom,270.0
R33,81.28,88.90,Bottom,180.0
R34,74.93,114.30,Bottom,90.0
R35,81.28,100.33,Bottom,180.0
R36,81.28,97.79,Bottom,0.0
R37,26.67,78.74,Bottom,90.0
R38,24.13,78.74,Bottom,270.0
R39,81.28,93.98,Bottom,0.0
R40,19.05,78.74,Bottom,90.0
R41,21.59,78.74,Bottom,270.0
R42,60.96,91.44,Bottom,0.0
R43,60.96,88.90,Bottom,180.0
R44,60.96,93.98,Bottom,0.0
R45,69.85,104.14,Bottom,90.0
R46,67.31,104.14,Bottom,270.0
R47,72.39,104.14,Bottom,90.0
R48,36.83,78.74,Bottom,90.0
R49,34.29,78.74,Bottom,270.0
R50,68.58,80.01,Bottom,270.0
R51,29.21,78.74,Bottom,90.0
R52,31.75,78.74,Bottom,270.0
R53,78.74,15.24,Bottom,0.0
R54,60.96,15.24,Bottom,0.0
R56,55.63,113.54,Bottom,90.0
R57,63.88,114.17,Bottom,270.0
R60,39.37,15.24,Bottom,0.0
U1,27.94,92.71,Bottom,90.0
U3,49.53,96.52,Bottom,270.0
U8B,21.59,105.41,Bottom,180.0
U10,71.12,87.63,Bottom,270.0

BAT, 7.62,22.86,Top,90.0
CHAN_A,54.61, 6.35,Top,90.0
CHAN_B,72.39, 6.35,Top,90.0
CONTR.,84.20,65.02,Top,0.0
DC_IN,15.24, 8.89,Top,0.0
ISP1, 6.35,67.31,Top,90.0
LCD1, 5.08,78.74,Top,0.0
LED_CH_A,54.61,15.24,Top,180.0
LED_CH_B,72.39,15.24,Top,180.0
LED_POWER,34.29,15.24,Top,180.0
LEFT,54.61,67.31,Top,270.0
LEVEL_A,54.61,41.91,Top,0.0
LEVEL_B,72.39,41.91,Top,0.0
MENU,16.51,67.31,Top,270.0
MULTI,34.29,41.91,Top,0.0
OK,34.29,67.31,Top,90.0
P_SWITCH,27.94, 7.62,Top,90.0
RIGHT,72.39,67.31,Top,90.0
TR1,48.26,24.13,Top,0.0
TR2,66.04,24.13,Top,0.0
UART, 6.35,76.20,Top,180.0
